datetime,open,high,low,close
2022-10-20,19123.98047,19338.82031,18932.50977,19140.41992
2022-10-19,19328.76953,19355.85938,19095.16992,19125.91992
2022-10-18,19548.80078,19700.66992,19100.63086,19328.76953
2022-10-17,19265.13086,19669.16016,19156.92969,19548.80078
2022-10-16,19070.32031,19419.60938,19067.78906,19261.26953
2022-10-15,19185.81055,19220.66016,18997.55078,19067.91016
2022-10-14,19380.17969,19939.43945,19087.4707,19185.81055
2022-10-13,19155.58008,19494.75,18212.96094,19381.92969
2022-10-12,19052.33008,19224.75,18987.23047,19155.58008
2022-10-11,19136.06055,19260.4707,18862.21094,19052.33008
2022-10-10,19446.2793,19522.75,19053.56055,19136.06055
2022-10-09,19418.80078,19560.85938,19323.16992,19445.89062
2022-10-08,19538.08008,19612.99023,19273.0293,19419.32031
2022-10-07,19958.92969,20055.51953,19335.61914,19530.57031
2022-10-06,20161.08984,20448.75977,19864.91016,19968.53906
2022-10-05,20345.13086,20368.25,19756.80078,20161.08984
2022-10-04,19627.16992,20455.25,19509.50977,20345.13086
2022-10-03,19059.26953,19675.16016,18988.0,19637.34961
2022-10-02,19313.93945,19397.25977,18926.42969,19059.26953
2022-10-01,19421.73047,19481.33984,19195.7207,19313.93945
2022-09-30,19596.36914,20177.44922,19196.57031,19423.25977
2022-09-29,19411.30078,19639.35938,18867.84961,19588.58984
2022-09-28,19079.5293,19768.33984,18496.58008,19414.03906
2022-09-27,19225.46094,20365.60938,18836.91016,19079.5293
2022-09-26,18802.80078,19308.44922,18695.23047,19224.41992
2022-09-25,18927.17969,19167.94922,18638.49023,18804.84961
2022-09-24,19289.73047,19309.11914,18811.46094,18926.36914
2022-09-23,19405.44922,19484.58008,18541.2207,19293.44922
2022-09-22,18486.90039,19499.81055,18363.66992,19402.83008
2022-09-21,18874.34961,19828.89062,18190.28906,18490.96094
2022-09-20,19538.65039,19634.38086,18741.83008,18876.09961
2022-09-19,19418.36914,19683.08008,18281.08008,19536.41992
2022-09-18,20115.25977,20120.53906,19344.63086,19418.36914
2022-09-17,19798.32031,20178.17969,19757.53906,20121.94922
2022-09-16,19699.86914,19885.58008,19346.66992,19802.53906
2022-09-15,20224.93945,20330.67969,19530.59961,19699.86914
2022-09-14,20174.42969,20512.91016,19636.38086,20227.49023
2022-09-13,22394.00977,22754.34961,19910.83984,20174.42969
2022-09-12,21828.89062,22481.39062,21575.94922,22395.00977
2022-09-11,21656.05078,21851.83008,21372.94922,21851.83008
2022-09-10,21370.01953,21804.44922,21154.43945,21656.05078
2022-09-09,19318.25977,21569.98047,19298.01953,21370.01953
2022-09-08,19281.08984,19446.49023,19033.64062,19323.33984
2022-09-07,18787.61914,19459.91016,18564.82031,19280.13086
2022-09-06,19793.48047,20175.10938,18674.09961,18786.13086
2022-09-05,20003.24023,20047.65039,19645.57031,19793.48047
2022-09-04,19836.46094,20020.46094,19595.33008,20005.86914
2022-09-03,19955.99023,20046.19922,19663.18945,19835.46094
2022-09-02,20127.32031,20440.49023,19764.25977,19955.25
