datetime,open,high,low,close
2022-11-07,0.99105,1.0007,0.9899,1.0001
2022-11-04,0.9752,0.9967,0.9743,0.9963
2022-11-03,0.983,0.9839,0.973,0.9752
2022-11-02,0.98775,0.9976,0.9823,0.9829
2022-11-01,0.98825,0.9953,0.9853,0.9877
2022-10-31,0.9949,0.9966,0.9873,0.9883
2022-10-28,0.99705,0.9998,0.9927,0.9966
2022-10-27,1.0082,1.0094,0.9958,0.9971
2022-10-26,0.9967,1.0089,0.9944,1.0081
2022-10-25,0.9873,0.9977,0.985,0.99665
2022-10-24,0.9876,0.98995,0.9807,0.9874
2022-10-21,0.9785,0.9869,0.9705,0.9862
2022-10-20,0.9773,0.9845,0.9755,0.9784
2022-10-19,0.9857,0.9872,0.9757,0.9774
2022-10-18,0.9835,0.9875,0.98125,0.98575
2022-10-17,0.9726,0.9852,0.9719,0.9835
2022-10-14,0.9775,0.9806,0.9709,0.9727
2022-10-13,0.9701,0.9806,0.9634,0.9775
2022-10-12,0.97105,0.9734,0.9668,0.9702
2022-10-11,0.97015,0.9774,0.9673,0.9712
2022-10-10,0.97375,0.9752,0.9682,0.9702
2022-10-07,0.9796,0.9817,0.9726,0.9739
2022-10-06,0.9887,0.9926,0.9788,0.9797
2022-10-05,0.9991,0.9995,0.9835,0.9885
2022-10-04,0.98275,1.0,0.9806,0.9991
2022-10-03,0.98,0.9844,0.9753,0.9828
2022-09-30,0.98165,0.9853,0.9735,0.9802
2022-09-29,0.9735,0.9816,0.9636,0.9816
2022-09-28,0.9592,0.9751,0.95375,0.9736
2022-09-27,0.96075,0.9669,0.9569,0.9594
2022-09-26,0.9685,0.971,0.9569,0.9608
2022-09-23,0.9838,0.9852,0.9668,0.969
2022-09-22,0.984,0.9906,0.9809,0.98355
2022-09-21,0.9972,0.9978,0.9815,0.9837
2022-09-20,1.0023,1.0051,0.9956,0.9971
2022-09-19,1.0012,1.0029,0.9967,1.0023
2022-09-16,1.0001,1.0036,0.9945,1.0015
2022-09-15,0.998,1.0018,0.9956,1.0
2022-09-14,0.997,1.0024,0.9956,0.9983
2022-09-13,1.0124,1.0188,0.99665,0.9969
2022-09-12,1.0096,1.0198,1.006,1.0123
2022-09-09,0.9995,1.0112,0.9995,1.0045
2022-09-08,1.0002,1.0029,0.9932,0.99965
2022-09-07,0.99045,1.0011,0.9876,1.0002
2022-09-06,0.9928,0.99865,0.9864,0.9905
2022-09-05,0.99295,0.9944,0.9877,0.9931
2022-09-02,0.99455,1.00335,0.9943,0.9956
2022-09-01,1.0055,1.0056,0.99115,0.99455
2022-08-31,1.00135,1.0079,0.99715,1.0055
2022-08-30,0.99995,1.0054,0.99815,1.0016
2022-08-29,0.9968,1.0029,0.9914,0.99985
2022-08-28,0.9968,0.9968,0.9914,0.99415
2022-08-26,0.9997,1.0089,0.99565,0.9964
2022-08-25,0.9977,1.00235,0.9947,0.9997
2022-08-24,0.9928,1.0033,0.991,0.9976
2022-08-23,0.9924,1.0018,0.9914,0.9927
2022-08-22,1.0001,1.0009,0.99005,0.99255
2022-08-21,1.0041,1.0046,0.9992,1.0
2022-08-19,1.0049,1.00685,1.0032,1.0037
2022-08-18,1.0177,1.0187,1.00455,1.0049
2022-08-17,1.01675,1.0203,1.0146,1.0178
2022-08-16,1.01285,1.0195,1.0125,1.0167
2022-08-15,1.0195,1.0223,1.01225,1.01275
2022-08-14,1.0263,1.0269,1.01865,1.0195
2022-08-12,1.02795,1.0291,1.02385,1.0261
2022-08-11,1.0325,1.03655,1.0278,1.0278
2022-08-10,1.0258,1.0368,1.0244,1.0324
2022-08-09,1.0221,1.026,1.0202,1.0259
2022-08-08,1.02015,1.0247,1.01845,1.0221
2022-08-07,1.0176,1.0214,1.0159,1.0201
2022-08-05,1.0231,1.0236,1.0142,1.0182
2022-08-04,1.01755,1.0254,1.01655,1.02335
2022-08-03,1.01845,1.0198,1.0123,1.0175
2022-08-02,1.02245,1.0236,1.015,1.0185
2022-08-01,1.0234,1.0294,1.0215,1.0224
2022-07-31,1.0218,1.027,1.0205,1.0232
2022-07-29,1.0209,1.0228,1.0147,1.0226
2022-07-28,1.0118,1.0254,1.0116,1.0209
2022-07-27,1.0153,1.02345,1.0097,1.0117
2022-07-26,1.01305,1.0171,1.0108,1.015
2022-07-25,1.02295,1.02545,1.0125,1.0132
2022-07-24,1.0213,1.0257,1.018,1.0229
2022-07-22,1.0177,1.0255,1.017,1.0213
2022-07-21,1.0193,1.0277,1.0131,1.0176
2022-07-20,1.01905,1.0238,1.0156,1.0191
2022-07-19,1.0254,1.0273,1.0175,1.019
2022-07-18,1.0144,1.0269,1.01195,1.02535
2022-07-17,1.0085,1.01755,1.0079,1.0142
2022-07-15,1.0055,1.0098,1.00415,1.0086
2022-07-14,1.00085,1.0066,0.99525,1.0054
2022-07-13,1.00685,1.0122,0.9999,1.0009
2022-07-12,1.004,1.0073,1.0006,1.0068
2022-07-11,1.009,1.0104,1.00005,1.004
2022-07-10,1.0179,1.0184,1.0083,1.009
2022-07-08,1.0152,1.0189,1.0117,1.0187
2022-07-07,1.019,1.0196,1.00725,1.0151
2022-07-06,1.0192,1.02205,1.0162,1.019
2022-07-05,1.0296,1.0301,1.01815,1.0193
2022-07-04,1.0453,1.0458,1.0281,1.0297
2022-07-03,1.0424,1.0463,1.0418,1.0452
2022-07-01,1.0438,1.0439,1.0368,1.0429
2022-06-30,1.0394,1.0488,1.03845,1.0436
2022-06-29,1.0522,1.0529,1.03825,1.0394
2022-06-28,1.0569,1.057,1.0486,1.0524
2022-06-27,1.0568,1.0615,1.0554,1.057
2022-06-26,1.0555,1.0591,1.055,1.0567
2022-06-24,1.0517,1.0572,1.0516,1.0554
2022-06-23,1.0505,1.0555,1.049,1.0516
2022-06-22,1.0511,1.0606,1.0483,1.0506
2022-06-21,1.055,1.0567,1.047,1.0512
2022-06-20,1.05255,1.0583,1.0498,1.05505
2022-06-19,1.0476,1.0546,1.04745,1.0525
2022-06-17,1.0488,1.0508,1.0445,1.05
2022-06-16,1.0385,1.0601,1.0385,1.0485
2022-06-15,1.04575,1.047,1.03585,1.0385
2022-06-14,1.0446,1.0508,1.0401,1.0457
2022-06-13,1.0447,1.0483,1.0397,1.0442
2022-06-12,1.0516,1.052,1.0445,1.0446
2022-06-10,1.0574,1.0586,1.0506,1.0518
2022-06-09,1.073,1.0774,1.0571,1.0575
2022-06-08,1.0734,1.0749,1.06885,1.0728
2022-06-07,1.0662,1.074,1.0652,1.0736
2022-06-06,1.0731,1.0731,1.0658,1.0662
2022-06-05,1.0722,1.0752,1.071,1.0731
2022-06-03,1.0729,1.0751,1.0705,1.0719
2022-06-03,1.0748,1.0764,1.0726,1.0727
2022-06-02,1.065,1.0749,1.0645,1.0748
2022-06-01,1.0735,1.0738,1.0627,1.065
2022-05-31,1.0779,1.0783,1.0679,1.0736
2022-05-30,1.0738,1.0787,1.0726,1.07785
2022-05-28,1.0734,1.0736,1.07275,1.0735
2022-05-27,1.0724,1.0765,1.06975,1.0734
2022-05-26,1.0677,1.0729,1.06625,1.0724
2022-05-25,1.0731,1.0739,1.0643,1.0677
2022-05-24,1.0687,1.0749,1.0661,1.073
2022-05-23,1.0564,1.0697,1.0558,1.0686
2022-05-21,1.0557,1.0567,1.0553,1.0563
2022-05-20,1.0591,1.0599,1.0533,1.0558
2022-05-19,1.0466,1.0607,1.046,1.0589
2022-05-18,1.0546,1.0564,1.04645,1.0465
2022-05-17,1.0432,1.0555,1.04285,1.0545
2022-05-16,1.0407,1.0443,1.03895,1.04325
2022-05-14,1.0402,1.0412,1.04,1.041
2022-05-13,1.0373,1.04195,1.035,1.04015
2022-05-12,1.0516,1.05295,1.0354,1.0374
2022-05-11,1.0536,1.0577,1.0503,1.0516
2022-05-10,1.0559,1.05855,1.05255,1.0536
2022-05-09,1.0544,1.0592,1.0495,1.0558
2022-05-07,1.05475,1.055,1.05405,1.0547
2022-05-06,1.05505,1.0599,1.04835,1.0548
2022-05-05,1.0607,1.0642,1.0493,1.055
2022-05-04,1.0525,1.0627,1.0506,1.0608
2022-05-03,1.0504,1.05775,1.0494,1.0525
2022-05-02,1.055,1.0567,1.0491,1.0505
2022-04-30,1.05485,1.05525,1.0541,1.0543
2022-04-29,1.0509,1.0592,1.0492,1.0549
2022-04-28,1.0558,1.0564,1.0472,1.051
2022-04-27,1.0643,1.0655,1.05145,1.0559
2022-04-26,1.0713,1.0738,1.0638,1.0644
2022-04-25,1.08345,1.08345,1.0697,1.07135
2022-04-24,1.08415,1.08425,1.08315,1.08315
2022-04-23,1.0793,1.0803,1.0791,1.0794
2022-04-22,1.0838,1.08515,1.0771,1.0793
2022-04-21,1.0853,1.0936,1.0824,1.084
2022-04-20,1.0788,1.0867,1.0784,1.0853
2022-04-19,1.07835,1.0813,1.0761,1.0789
2022-04-18,1.08015,1.0822,1.077,1.0784
2022-04-17,1.0805,1.0805,1.0801,1.08015
2022-04-16,1.0808,1.0817,1.0808,1.0809
2022-04-15,1.0825,1.0835,1.0798,1.0809
2022-04-14,1.0883,1.0923,1.0758,1.0824
2022-04-13,1.083,1.0894,1.0809,1.0883
2022-04-12,1.0884,1.0903,1.0823,1.0831
2022-04-11,1.0925,1.09335,1.0873,1.0884
2022-04-10,1.09355,1.0951,1.09355,1.09385
2022-04-09,1.0877,1.08795,1.08735,1.0878
2022-04-08,1.0872,1.08895,1.0838,1.0879
2022-04-07,1.09005,1.0936,1.0866,1.0872
2022-04-06,1.0904,1.0938,1.0875,1.09015
2022-04-05,1.097,1.09885,1.09,1.0904
2022-04-04,1.10375,1.1055,1.0961,1.097
2022-04-03,1.1039,1.104,1.10365,1.10375
